Year	tree ring data
3137	221
3138	174.63
3139	166.11
3140	162.32
3141	185.74
3142	165.45
3143	168.41
3144	218.08
3145	249.38
3146	237.98
3147	207.76
3148	216.73
3149	269.76
3150	212.42
3151	258.18
3152	205
3153	327.21
3154	313.19
3155	303
3156	206.73
3157	169.22
3158	183.84
3159	261.15
3160	268.66
3161	274.91
3162	285.37
3163	264.51
3164	238.79
3165	230.33
3166	246.95
3167	305.29
3168	264.03
3169	204.38
3170	211.51
3171	159.66
3172	158.54
3173	127.85
3174	219.17
3175	242.91
3176	254.27
3177	257.42
3178	242
3179	280.11
3180	228.47
3181	203.41
3182	143.44
3183	212.84
3184	198.68
3185	156.37
3186	153.54
3187	163.72
3188	253.5
3189	279.85
3190	269.33
3191	259.08
3192	224
3193	183.51
3194	163.78
3195	185.33
3196	192.72
3197	190.59
3198	165.82
3199	212.92
3200	195.12
3201	169.92
3202	73
3203	81
3204	95
3205	161.87
3206	210.04
3207	216.48
3208	244.15
3209	256
3210	254
3211	239.92
3212	252.63
3213	273.45
3214	292.16
3215	288.73
3216	342.62
3217	298.79
3218	158
3219	314.81
3220	297.92
3221	299.81
3222	266.34
3223	275.95
3224	240.74
3225	217.98
3226	116.53
3227	108.74
3228	119.09
3229	156.45
3230	160.02
3231	1192.8
3232	191.98
3233	205.08
3234	674257
3235	260.07
3236	278.51
3237	253.02
3238	236.67
3239	241.77
3240	289.46
3241	333.66
3242	349.95
3243	241.49
3244	170.63
3245	150.57
3246	200.82
3247	198.86
3248	199
3249	213.68
3250	195.85
3251	232.4
3252	272.97
3253	233.41
3254	172.02
3255	172.19
3256	171.89
3257	249.95
3258	260.26
3259	278.54
3260	243.7
3261	257.12
3262	254.43
3263	266.13
3264	223.44
3265	198.23
3266	203.55
3267	176.71
3268	240.96
3269	257.86
3270	324.77
3271	265.97
3272	259.19
3273	216.13
3274	189.85
3275	181.23
3276	222.45
3277	285.95
3278	307.77
3279	325.99
3280	363.39
3281	332.68
3282	288.41
3283	228.31
3284	252.18
3285	268.38
3286	283.3
3287	233.66
3288	218.73
3289	188.19
3290	200.08
3291	172.65
3292	221.05
3293	208.15
3294	256.69
3295	227.74
3296	240.47
3297	202.77
3298	176.88
3299	180.74
3300	208.49
3301	245.17
3302	248.15
3303	293.04
3304	290.01
3305	340.65
3306	322.21
3307	287.75
3308	222.36
3309	309.88
3310	244.63
3311	241.93
3312	189.26
3313	236.86
3314	224.75
3315	183.27
3316	174.8
